ID,SMILES,Respiratory Toxicity_Respiratory Toxicity,Irritation and Corrosion_Eye Corrosion,Hepatotoxicity_Hepatotoxicity,Endocrine Disruption_SR-p53,Endocrine Disruption_SR-HSE,Endocrine Disruption_SR-ATAD5,Endocrine Disruption_SR-ARE,Endocrine Disruption_NR-aromatase,Endocrine Disruption_NR-ER,Endocrine Disruption_NR-ER-LBD,Endocrine Disruption_NR-AhR,Endocrine Disruption_NR-AR,Endocrine Disruption_NR-AR-LBD,Clinical Toxicity_Clinical toxicity,Cardiotoxicity_Cardiotoxicity-5,Cardiotoxicity_Cardiotoxicity-10,Cardiotoxicity_Cardiotoxicity-1,Carcinogenicity_Carcinogenicity,CYP450_CYP3A4,CYP450_CYP2C19,CYP450_CYP1A2,CYP450_CYP2C9,Mutagenicity_Ames Mutagenicity,Irritation and Corrosion_Eye Irritation,Endocrine Disruption_SR-MMP,Endocrine Disruption_NR-PPAR-gamma,Developmental and Reproductive Toxicity_Reproductive Toxicity,Developmental and Reproductive Toxicity_Developmental Toxicity,Cardiotoxicity_Cardiotoxicity-30,CYP450_CYP2D6
TOX-100021,CCN1CCC[C@@H](OC(=O)C(c2ccccc2)c2ccccc2)C1,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,1.0
TOX-100022,CCN1CCc2c(sc(N)c2C(N)=O)C1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100023,CCN1CCc2c(sc(NC(=S)NC(=O)c3ccccc3)c2C#N)C1,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0
TOX-100024,CCN1CCc2nc(NC(=O)c3ccc4c(c3)OCCO4)sc2C1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0
TOX-100025,CCN1CCc2nc(NC(=O)CC(c3ccccc3)c3ccccc3)sc2C1,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0
TOX-100026,CCN1CCCC1Cn1cnc2c3cc(C)ccc3nc-2c1O,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,1.0
TOX-100027,CCN1CCCC1CNC(=O)C(=O)Nc1ccc(OC)cc1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
TOX-100028,CCN1CCCC1CNC(=O)C(=O)Nc1ccccc1OC,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,
TOX-100029,CCN1CCCC1CNC(=O)C1c2cc(OC)c(OC)cc2C(=O)N(C)C1c1cccnc1,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
TOX-100030,CCN1CCCC1CNC(=O)c1cc(NC(C)=O)c(N(C)C)cc1OC,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100031,CCN1CCCC1CNC(=O)CCNC(=O)c1cc(OC)c(OC)c(OC)c1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100032,CCN1CCCC1CNC(=O)CSCc1nc(-c2ccccc2C)oc1C,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,
TOX-100033,CCN1CCN(C(=O)C2c3cc(OC)c(OC)cc3C(=O)N3CCc4ccccc4C23)CC1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
TOX-100034,CCN1CCN(C(=O)CCc2nc(O)c3ccccc3n2)CC1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0
TOX-100035,CCN1CCN(C(=S)c2ccc(Br)cc2)CC1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
TOX-100036,CCN1CCN(C(c2cccs2)C(C)NC(=O)c2cccnc2)CC1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0
TOX-100037,CCN1CCN(c2ccc(NC(=O)C(C)C)cc2Cl)CC1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,
TOX-100038,CCN1CCN(c2nc(C)c3c(n2)CCCC3=O)CC1,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,,,,0.0
TOX-100039,CCN1CCN(c2nc(-c3ccccn3)nc3ccccc23)CC1,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0
TOX-100040,CCN1CCN(c2nc3ccccc3nc2C(C#N)C(=O)OC2CCCCC2)CC1,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
TOX-100041,CCN1CCN(c2nc3ccccc3s2)CC1,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,
TOX-100042,CCN1CCN(c2nn3c(=O)c4ccccc4nc3c3ccccc23)CC1,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,
TOX-100043,CCN1CCN(Cc2cc(OC)c(OC)cc2[N+](=O)[O-])CC1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
TOX-100044,CCN1CCN(Cc2ccc(NC(=O)Nc3cccs3)cc2)CC1,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0
TOX-100045,CCN1CCN(CCCNC(=O)C(NC(=O)C2CCC(C)CC2)C(C)C)CC1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100046,CCN1CCN(CCCNC(=O)c2cc3cc4ccc(OC)cc4nc3o2)CC1,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,
TOX-100047,CCN1CCN(S(=O)(=O)c2ccc(Cl)c(C(=O)Nc3nnc(CC(C)C)s3)c2)CC1,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
TOX-100048,CCN1CCN(S(=O)(=O)c2ccc(Cl)nc2)CC1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
TOX-100049,CCN1CNC(=S)N(c2cc(C)ccc2C)C1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
TOX-100050,CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@H]3N)nc21,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,
TOX-100051,CCn1nc(C(=O)Nc2ccccc2C)c(Cl)c1Cl,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,0.0
TOX-100052,CCn1nc(C)c(NC(=O)/C=C/c2cnn(C)c2C)c1C,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
TOX-100053,CCn1nc(C)c(NC(=O)CCSc2nc(-c3ccco3)cc(C(F)(F)F)n2)c1C,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,,0.0
TOX-100054,CCn1nc2cc(C(=O)NCC34CC5CC(CC(C5)C3)C4)ccc2c1OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
TOX-100055,CCn1ncc(/C=C/C(=O)NCc2cn(C)nc2C)c1C,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100056,CCn1ncc(C(=O)Nc2cc(C)on2)c1C,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0
TOX-100057,CCn1nccc1C(=O)Nc1nc2ccccc2n1CCN1CCCCC1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
TOX-100058,CCn1nnnc1SCC(=O)c1ccc2c(c1)OCCO2,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,0.0
TOX-100059,CCn1nnnc1SCC(=O)NC1CCCC1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0
TOX-100060,CCNC(=N)CSS(=O)(=O)O,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100061,CCNC(=O)[C@@H]1O[C@@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@H](O)[C@@H]1O,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100062,CCNC(=O)[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0
TOX-100063,CCNC(=O)[C@@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1O,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0
TOX-100064,CCNC(=O)[C@H]1O[C@H](n2cnc3c(N)nc(NCCc4ccc(CCC(=O)O)cc4)nc32)[C@@H](O)[C@@H]1O,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,
TOX-100065,CCNC(=O)C/C(C)=N/NC(=O)C12CC3CC(CC(C3)C1)C2,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100066,CCNC(=O)c1c(NC(C)=O)sc2c1CCCC2,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0
TOX-100067,CCNC(=O)C1CC(=O)OC12CCCCC2,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0
TOX-100068,CCNC(=O)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
TOX-100069,CCNC(=O)c1ccc(-n2nc(C)cc2-c2ccccc2)cc1,,,,,,,,,,,,,,,,,,,0.0,1.0,,1.0,,,,,,,,0.0
TOX-100070,CCNC(=O)CC1C(=O)N(c2ccc(F)cc2)C(=O)N1CCc1ccc(OC)cc1,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0
TOX-100071,CCNC(=O)CN1c2cccc3cccc(c23)S1(=O)=O,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0
TOX-100072,CCNC(=O)COC(=O)c1cc(-c2ccc(OC)cc2)nc2ccccc12,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,0.0
TOX-100073,CCNC(=O)COC(=O)c1cc(O)nc2ccccc12,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,
TOX-100074,CCNC(=O)CSc1nnc(C2CC2)n1-c1ccccc1,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0
TOX-100075,CCNC(=O)O/N=C(\C)c1sc(-c2ccccc2)nc1C,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,
TOX-100076,CCNC(=S)N1CC(C)OC(C)C1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100077,CCNC(=S)N1CCC(NC(=O)C2CCCCC2)CC1,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
TOX-100078,CCNC(=S)NC1CC2CCCC(C1)N2Cc1ccco1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,1.0
TOX-100079,CCNC(=S)NNC(=O)c1cc(C)on1,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0
TOX-100080,CCNC(=S)NNC(=O)c1cc(C2CC2)nc2ccccc12,,,,,,,,,,,,,,,,,,,0.0,,1.0,1.0,,,,,,,,0.0
TOX-100081,CCNC(=S)NNC(=O)c1cccc(Br)c1,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0
TOX-100082,CCNC(=S)NNC(=O)c1cccs1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100083,CCNC(=S)NNC(=O)c1ccoc1C,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,0.0
TOX-100084,CCNC(=S)NNC(=O)c1csc2ccccc12,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0
TOX-100085,CCNC(=S)NNC(=O)Cc1ccccc1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100086,CCNC(=S)NNC(=O)CCn1c2ccccc2c2ccccc21,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
TOX-100087,CCNC(=S)NS(=O)(=O)c1ccccc1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100088,CCNC(C)(C)[C@@H](SS)c1ccc(Br)cc1,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
TOX-100089,CCNC[C@H](O)c1cccc(O)c1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-10009,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,0.0,0.0,,,1.0,1.0
TOX-100090,CCNC1=NN=C(c2ccc(C)cc2)CS1,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
TOX-100091,CCNc1nc(NC(C)C)nc(SCCOc2ccc(C)cc2)n1,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
TOX-100092,CCNc1nc(NCC)nc(C(=O)Nc2ccccc2)n1,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,,,,0.0
TOX-100093,CCNc1nc(NCC)nc(N(C)N)n1,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,,,,0.0
TOX-100094,CCNc1nc(Oc2c(Cl)cccc2Cl)cc(C(F)(F)F)n1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0
TOX-100095,CCNc1nnc(-c2ccncc2)s1,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,,,,0.0
TOX-100096,CCNCCC1(CC)C(=O)NC(=O)NC1=O,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100097,CCNCCCNCCCCNCCCNCC,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0
TOX-100098,CCNS(=O)(=O)c1ccc(NC(=O)c2cc(C(F)(F)F)nn2C)cc1,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0
TOX-100099,CCNS(=O)(=O)c1ccc(NS(C)(=O)=O)cc1,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0
TOX-1001,COCCCC/C(=N\OCC[NH3+])c1ccc(C(F)(F)F)cc1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
TOX-100100,CCO/C(C)=N/n1c2nc3ccccc3nc2c2c(=O)n(CC(C)C)c(C)nc21,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0
TOX-100101,CCO/C(O)=C(/C(=N)NC(=O)Nc1ccccc1)C(C)=O,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,0.0
TOX-100102,CCO/C(O)=C(/C=N/c1ccccc1)[N+](=O)[O-],,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,,,,0.0
TOX-100103,CCO/C(O)=C(\C(=N)NCCCO)C(=O)c1ccccc1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100104,CCO/C(O)=C/C1=NC(C)(C)Cc2cc(OC)c(O)cc21,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
TOX-100105,CCO/C(O)=C1/C(C)=NC2(O)c3ccccc3C(=O)C12O,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,
TOX-100106,CCO/C(O)=C1/C(C)=Nc2ncnn2C1c1cccnc1,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,,0.0
TOX-100107,CCO/C(O)=C1\C(C)=NC(SCC(N)=O)=C(C#N)C1c1ccccc1,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,0.0
TOX-100108,CCO[C@H](c1cc(OC)cc([N+](=O)[O-])c1OC)[C@H](C)/C=C\CC(=O)OC,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,0.0
TOX-100109,CCO[C@H]1O[C@@H]([C@H](COCc2ccccc2)OCc2ccccc2)[C@@H](OCc2ccccc2)[C@H]1O,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
TOX-100110,CCOC(=O)/C(C#N)=C\c1ccc(OCC(=O)Nc2ccc(C)cc2C)c(OC)c1,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0
TOX-100111,CCOC(=O)/C(C#N)=C\N(C)C,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0
TOX-100112,CCOC(=O)/C(C#N)=C1/C=CN(C)C=N1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100113,CCOC(=O)/C(C#N)=C1/SC(CC)C(=O)N1c1ccc(Br)cc1,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
TOX-100114,CCOC(=O)/C(C(=N)NCCCO)=C(\O)OCC,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.0
TOX-100115,CCOC(=O)[C@@]12C[C@@H]1/C(=N/O)c1ccccc1O2,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0
TOX-100116,CCOC(=O)[C@@H](O)Cc1cnc2ccccc2n1,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,0.0
TOX-100117,CCOC(=O)[C@]1(CC(=O)O)CCCC1=O,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100118,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCC[C@@H]21,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
TOX-100119,CCOC(=O)[C@H](N)/C=C(\C)CP(=O)(O)O,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,1.0
TOX-100120,CCOC(=O)[C@H]1[C@H](O)C[C@@H]2c3ccccc3-c3ccccc3[C@H]21,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,,,,,,,,0.0
TOX-100121,CCOC(=O)C(/C=N/c1cccc(C)c1C)=C(/O)OCC,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,
TOX-100122,CCOC(=O)C(/C=N/c1ncccc1C)=C(/O)OCC,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0
TOX-100123,CCOC(=O)C(/C=N/CC(=O)O)=C(\O)OCC,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,
TOX-100124,CCOC(=O)C(=Cc1ccc(-c2ccsc2C(=O)OC)o1)C(=O)OCC,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,
TOX-100125,CCOC(=O)C(=Cc1ccc(F)cc1)C(=O)OCC,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,,,,,,,,,0.0
TOX-100126,CCOC(=O)C(=O)NCc1ccc(/C=C2\C(=O)C(C(=O)OC)=C(C)N2c2ccc(F)cc2)o1,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,0.0
TOX-100127,CCOC(=O)C(=O)NCc1ccc(/C=C2\C(=O)C(C(=O)OC)=C(C)N2c2ccccc2)o1,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0
TOX-100128,CCOC(=O)C(C(=O)NCc1ccc(C)cc1)c1ncc(C(F)(F)F)cc1Cl,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,0.0
TOX-100129,CCOC(=O)C(C)CC(C)C(=O)N1CCOCCN(C(=O)C(C)CC(C)C(=O)OCC)CCOCC1,,,,,,,,,,,,,,,,,,,1.0,,0.0,0.0,,,,,,,,0.0
TOX-100130,CCOC(=O)C(C)Sc1ncc(OC)c(Sc2ccc(Cl)cc2)n1,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,0.0
TOX-100131,CCOC(=O)C(C)Sc1nnc(CNC(=O)c2ccc(OC)cc2)n1C1CCCCC1,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,,,,0.0
TOX-100132,CCOC(=O)C(CC)(CC)C(=O)/C=C/c1ccc(Br)cc1,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,,,,,,,,0.0
TOX-100133,CCOC(=O)C(NC(=O)CC)(Nc1sc2c(c1C(=O)OC)CCN(C)C2)C(F)(F)F,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0
TOX-100134,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0
